text,word_count,class,author,topic,sample_id
"and inexplicable conduct, and nobody has thanked me.” ""Really I must say I should think not!” interposed the grave lady. ""You see, my dear,” added Miss Sarah Pocket (a blandly vicious personage), ""the question to put to yourself is, who did you expect to thank you, my love?” ""Without expecting any thanks, or anything of the sort,” resumed Camilla, ""I have remained in that state, hours and hours, and Raymond is a witness of the extent to which I have choked, and what the total inefficacy of ginger has been, and I have been heard at the piano-forte tuner's across the street, where the poor mistaken children have even supposed it to be pigeons cooing at a distance, and now to be told ” Here Camilla put her hand to her throat, and began to be quite chemical as to the formation of new combinations there. When this same Matthew was mentioned, Miss Havisham stopped me and herself, and stood looking at the speaker. This change had a great influence in bringing Camilla's chemistry to a sudden end. ""Matthew will come and see me at last,” said Miss Havisham, sternly, ""when I am laid on that table.",197,human,Dickens,original_literature,0
"miracle of erudition. ""I say, Pip, old chap!” cried Joe, opening his blue eyes wide, ""what a scholar you are! An't you?” ""I should like to be,” said I, glancing at the slate as he held it; with a misgiving that the writing was rather hilly. ""Why, here's a J,” said Joe, ""and a O equal to anythink! Here's a J and a O, Pip, and a J-O, Joe.” [Illustration] I had never heard Joe read aloud to any greater extent than this monosyllable, and I had observed at church last Sunday, when I accidentally held our Prayer-Book upside down, that it seemed to suit his convenience quite as well as if it had been all right. Wishing to embrace the present occasion of finding out whether in teaching Joe, I should have to begin quite at the beginning, I said, ""Ah! But read the rest, Jo.” ""The rest, eh, Pip?” said Joe, looking at it with a slow, searching eye, ""One, two, three. Why, here's three Js, and three Os, and three J-O, Joes in it, Pip!” I leaned over Joe, and, with the aid of my forefinger read him the whole letter.",194,human,Dickens,original_literature,1
"The matter of a suitable establishment for Miss Eleanor Worthing was, as might be expected, the subject of much deliberation amongst her mother and aunt. Not that Miss Worthing possessed any striking beauty, nor a fortune of particular magnitude; her accomplishments were respectable, embracing a passable skill upon the pianoforte and a fluency in French which, whilst adequate for polite conversation, scarcely extended to the intricacies of philosophical discourse. Yet, a husband must be found, and soon, for though possessed of a sweet temper, she was not a lady to secure an attachment through mere personal fascination. One feared a connection too humble would be a disappointment to Mrs. Worthing’s aspirations, whilst a gentleman of elevated rank might deem her deficiencies too considerable to overlook, a predicament which, it must be confessed, presented a rather vexing dilemma.",137,ai_mimicked,Austen,Marriage Prospects,2
"""Do you prefer reading to cards?” said he; ""that is rather singular.” ""Miss Eliza Bennet,” said Miss Bingley, ""despises cards. She is a great reader, and has no pleasure in anything else.” ""I deserve neither such praise nor such censure,” cried Elizabeth; ""I am not a great reader, and I have pleasure in many things.” ""In nursing your sister I am sure you have pleasure,” said Bingley; ""and I hope it will soon be increased by seeing her quite well.” Elizabeth thanked him from her heart, and then walked towards a table where a few books were lying. He immediately offered to fetch her others; all that his library afforded. ""And I wish my collection were larger for your benefit and my own credit; but I am an idle fellow; and though I have not many, I have more than I ever looked into.” Elizabeth assured him that she could suit herself perfectly with those in the room. ""I am astonished,” said Miss Bingley, ""that my father should have left so small a collection of books. What a delightful library you have at Pemberley, Mr.",185,human,Austen,original_literature,3
"The matter of a suitable establishment for Miss Eleanor Worthing was, as might be expected, the subject of much deliberation amongst her mother and aunt. Not that Miss Worthing possessed any striking beauty, nor a fortune of particular magnitude; her accomplishments were respectable, embracing a passable skill upon the pianoforte and a fluency in French sufficient for polite conversation, yet these advantages were, alas, tempered by a certain want of vivacity, a disposition too prone to quietude for the lively circles her mother aspired to penetrate. Still, a husband must be found, and a modest competence secured, and it was generally agreed that a gentleman of the clergy, or perhaps a naval officer recently returned from the Indies, might be persuaded to overlook a deficiency of sparkle in exchange for a comfortable portion and a wife possessed of a placid temper. Such considerations, though not romantic, were, after all, the very foundation of a woman’s consequence.",156,ai_mimicked,Austen,Marriage Prospects,4
"Superficiality impacts relationships by hindering genuine connection. When interactions are based on surface-level observations and shared interests remain unexplored, intimacy suffers. Conversations become transactional, focused on exchanging information rather than sharing vulnerabilities and building emotional bonds. The fear of revealing imperfections or challenging established narratives can prevent deeper understanding. This isn’t limited to romantic relationships; it affects friendships, family dynamics, and professional collaborations. A culture of superficiality fosters a sense of isolation, even amidst constant connection, because true connection requires risk and authenticity.",83,ai_neutral,AI,Superficiality,5
"unappeasable. You are very cautious, I suppose, as to its being created?” ""I am,” said he, with a firm voice. ""And never allow yourself to be blinded by prejudice?” ""I hope not.” ""It is particularly incumbent on those who never change their opinion, to be secure of judging properly at first.” ""May I ask to what these questions tend?” ""Merely to the illustration of your character,” said she, endeavouring to shake off her gravity. ""I am trying to make it out.” ""And what is your success?” She shook her head. ""I do not get on at all. I hear such different accounts of you as puzzle me exceedingly.” ""I can readily believe,” answered he, gravely, ""that reports may vary greatly with respect to me; and I could wish, Miss Bennet, that you were not to sketch my character at the present moment, as there is reason to fear that the performance would reflect no credit on either.” ""But if I do not take your likeness now, I may never have another opportunity.” ""I would by no means suspend any pleasure of yours,” he coldly replied.",185,human,Austen,original_literature,6
"Class disparity isn’t simply about income; it’s a deeply ingrained system impacting access to opportunity. Consider the seemingly neutral concept of neighborhood. Funding for public schools is often tied to local property taxes, creating vastly different educational experiences based on zip code. This impacts future earning potential, perpetuating a cycle where children born into lower-income areas are less likely to achieve upward mobility. Beyond education, access to quality healthcare, nutritious food, and even safe environments for recreation are all unevenly distributed, creating cumulative disadvantages. These aren’t individual failings, but systemic barriers built into the fabric of modern society, limiting potential before it even has a chance to flourish.",108,ai_neutral,AI,Class Disparity,7
"Superficiality, in contemporary society, often manifests as a prioritization of image over substance. This isn’t simply about vanity, though that’s a component. It’s a systemic issue fueled by social media, advertising, and a culture that rewards quick, easily digestible content. We’re bombarded with curated realities – filtered photos, highlight reels of success, and carefully constructed personas. This constant exposure can lead to a devaluation of authenticity and a pressure to conform to unrealistic standards. The result is a world where genuine connection is hampered by a fear of vulnerability and a focus on projecting an idealized self, rather than *being* a self. It’s a performance, and increasingly, people struggle to differentiate between the performance and the person.",117,ai_neutral,AI,Superficiality,8
"""She sot down,” said Joe, ""and she got up, and she made a grab at Tickler, and she Ram-paged out. That's what she did,” said Joe, slowly clearing the fire between the lower bars with the poker, and looking at it; ""she Ram-paged out, Pip.” ""Has she been gone long, Joe?” I always treated him as a larger species of child, and as no more than my equal. ""Well,” said Joe, glancing up at the Dutch clock, ""she's been on the Ram-page, this last spell, about five minutes, Pip. She's a-coming! Get behind the door, old chap, and have the jack-towel betwixt you.” I took the advice. My sister, Mrs. Joe, throwing the door wide open, and finding an obstruction behind it, immediately divined the cause, and applied Tickler to its further investigation. She concluded by throwing me I often served as a connubial missile at Joe, who, glad to get hold of me on any terms, passed me on into the chimney and quietly fenced me up there with his great leg. ""Where have you been, you young monkey?” said Mrs. Joe, stamping her foot.",186,human,Dickens,original_literature,9
"a very orderly manner, with all the observances which he supposed a regular part of the business. On finding Mrs. Bennet, Elizabeth, and one of the younger girls together, soon after breakfast, he addressed the mother in these words,-- ""May I hope, madam, for your interest with your fair daughter Elizabeth, when I solicit for the honour of a private audience with her in the course of this morning?” Before Elizabeth had time for anything but a blush of surprise, Mrs. Bennet instantly answered,-- ""Oh dear! Yes, certainly. I am sure Lizzy will be very happy--I am sure she can have no objection. Come, Kitty, I want you upstairs.” And gathering her work together, she was hastening away, when Elizabeth called out,-- ""Dear ma'am, do not go. I beg you will not go. Mr. Collins must excuse me. He can have nothing to say to me that anybody need not hear. I am going away myself.” ""No, no, nonsense, Lizzy. I desire you will stay where you are.” And upon Elizabeth's seeming really, with vexed and embarrassed looks, about to escape, she added, ""Lizzy, I insist upon your staying and hearing Mr.",192,human,Austen,original_literature,10
"The benefits of increased mortality awareness extend beyond personal philosophy and can demonstrably impact behavior. Studies show individuals prompted to contemplate their mortality are more likely to engage in prosocial behaviors, such as volunteering or donating to charity. This isn’t driven by guilt, but by a desire to contribute to something larger than oneself, a way to leave a positive mark on the world. Furthermore, it can foster greater tolerance and empathy towards others, recognizing our shared human condition and the universality of the life cycle. This shift in perspective can lead to stronger communities and a more compassionate society.",100,ai_neutral,AI,Mortality Awareness,11
"One observes, with a degree of amusement and a touch of concern, the lengths to which ladies will go to secure the attention of a desirable gentleman. The art of flirtation, though often disguised under the guise of innocent conversation, is a practice universally understood, and frequently pursued with a degree of artifice that would do credit to a seasoned politician. It is a delicate game, requiring a careful balance of coyness and encouragement, and a keen understanding of masculine vanity. And yet, one cannot entirely condemn it, for what alternative is offered to a woman who wishes to exert any influence over her own destiny?",106,ai_mimicked,Austen,Gender Roles,12
"The shaping of a soul, one might observe, is not unlike the slow accretion of dust upon a forgotten heirloom, each particle—a kindness received, a harsh word endured, a glimpse of beauty or a brush with squalor—contributing to a surface both concealing and revealing the form beneath; for what are we, after all, but collections of impressions, moulded by circumstance and the capricious whims of fate? Young Master Cecil, for instance, born to privilege yet haunted by a nameless discontent, found his character not in the gilded chambers of his ancestral home, but in the shadowed alleys where he secretly ventured, observing the lives of those less fortunate, a yearning for authenticity blossoming within him like a fragile flower pushing through the cobblestones, a yearning that threatened to dismantle the carefully constructed edifice of his expected station.",137,ai_mimicked,Dickens,Identity Formation,13
"to scale, as a big-boned Irish hunter. Within myself, I had sustained, from my babyhood, a perpetual conflict with injustice. I had known, from the time when I could speak, that my sister, in her capricious and violent coercion, was unjust to me. I had cherished a profound conviction that her bringing me up by hand gave her no right to bring me up by jerks. Through all my punishments, disgraces, fasts, and vigils, and other penitential performances, I had nursed this assurance; and to my communing so much with it, in a solitary and unprotected way, I in great part refer the fact that I was morally timid and very sensitive. I got rid of my injured feelings for the time by kicking them into the brewery wall, and twisting them out of my hair, and then I smoothed my face with my sleeve, and came from behind the gate. The bread and meat were acceptable, and the beer was warming and tingling, and I was soon in spirits to look about me.",174,human,Dickens,original_literature,14
"It is frequently observed that parents, in their eagerness to secure the future well-being of their children, inadvertently stifle those very qualities which might best enable them to navigate the complexities of life. A too-protective hand, a too-constant admonition, can breed a dependence of spirit that renders a young person incapable of independent thought or action. Miss Crawford, though undeniably accomplished, suffered from an excess of maternal guidance, her every inclination scrutinized, her every decision dictated. The result was a young lady possessed of considerable talents, yet lacking the confidence to employ them, forever seeking the approval of others, and, consequently, perpetually disappointed.",103,ai_mimicked,Austen,Parental Duty,15
"a press in the state parlour. There they remained, a nightmare to me, many and many a night and day. I had sadly broken sleep when I got to bed, through thinking of the strange man taking aim at me with his invisible gun, and of the guiltily coarse and common thing it was, to be on secret terms of conspiracy with convicts, a feature in my low career that I had previously forgotten. I was haunted by the file too. A dread possessed me that when I least expected it, the file would reappear. I coaxed myself to sleep by thinking of Miss Havisham's, next Wednesday; and in my sleep I saw the file coming at me out of a door, without seeing who held it, and I screamed myself awake. Chapter XI. At the appointed time I returned to Miss Havisham's, and my hesitating ring at the gate brought out Estella. She locked it after admitting me, as she had done before, and again preceded me into the dark passage where her candle stood.",176,human,Dickens,original_literature,16
